S.N,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency,Victory Margin,PC Name,EVM Votes Counted,Postal Votes Counted,EVM Votes Polled,Difference,Margin,Difference > Margin,Postalvotes > Margin
8.0,AKHILESH TRIPATHI,Independent,2295.0,3.0,2298.0,0.23,Uttar Pradesh,Phulpur - 51,,,,,,,,,
9.0,NAFIS AHAMAD,Independent,2145.0,2.0,2147.0,0.21,Uttar Pradesh,Phulpur - 51,,,,,,,,,
10.0,DR NEERAJ,Independent,1702.0,8.0,1710.0,0.17,Uttar Pradesh,Phulpur - 51,,,,,,,,,
11.0,SANJEEV KUMAR MISHRA,Yuva Vikas Party,1675.0,4.0,1679.0,0.17,Uttar Pradesh,Phulpur - 51,,,,,,,,,
12.0,MUSHIR AHMAD SIDDIQUI,Peoples Party of India (Democratic),1505.0,1.0,1506.0,0.15,Uttar Pradesh,Phulpur - 51,,,,,,,,,
13.0,SANGEETA YADAV,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),1283.0,8.0,1291.0,0.13,Uttar Pradesh,Phulpur - 51,,,,,,,,,
14.0,LALA RAM SAROJ,Prabuddhwadi Bahujan Morcha,1043.0,9.0,1052.0,0.1,Uttar Pradesh,Phulpur - 51,,,,,,,,,
15.0,PRAMOD BHAI PATEL URF P K,Sardar Patel Siddhant Party,947.0,1.0,948.0,0.09,Uttar Pradesh,Phulpur - 51,,,,,,,,,
16.0,NOTA,None of the Above,5445.0,15.0,5460.0,0.54,Uttar Pradesh,Phulpur - 51,,,,,,,,,
1.0,JITIN PRASADA,Bharatiya Janata Party,605199.0,1959.0,607158.0,52.3,Uttar Pradesh,Pilibhit - 26,164935.0,,,,,,,,
2.0,BHAGWAT SARAN GANGWAR,Samajwadi Party,439735.0,2488.0,442223.0,38.09,Uttar Pradesh,Pilibhit - 26,,,,,,,,,
3.0,ANIS AHMED KHAN (PHOOL BABU),Bahujan Samaj Party,89252.0,445.0,89697.0,7.73,Uttar Pradesh,Pilibhit - 26,,,,,,,,,
4.0,RAJEEV KUMAR SAXENA,Bhartiya Krishak Dal,3800.0,9.0,3809.0,0.33,Uttar Pradesh,Pilibhit - 26,,,,,,,,,
5.0,SUSHIL KUMAR SHUKLA,Independent,2723.0,4.0,2727.0,0.23,Uttar Pradesh,Pilibhit - 26,,,,,,,,,
6.0,MOHMMAD SHAHID HUSAIN,Independent,1842.0,4.0,1846.0,0.16,Uttar Pradesh,Pilibhit - 26,,,,,,,,,
7.0,ASHISH KUMAR,Independent,1842.0,8.0,1850.0,0.16,Uttar Pradesh,Pilibhit - 26,,,,,,,,,
8.0,ADARSH PANDEY,Independent,1714.0,12.0,1726.0,0.15,Uttar Pradesh,Pilibhit - 26,,,,,,,,,
9.0,SANJAY KUMAR BHARTI,Rashtriya Samaj Dal (R),1621.0,10.0,1631.0,0.14,Uttar Pradesh,Pilibhit - 26,,,,,,,,,
10.0,PRAMOD BHAI PATEL ALIAS P.K.,Independent,1525.0,14.0,1539.0,0.13,Uttar Pradesh,Pilibhit - 26,,,,,,,,,
11.0,NOTA,None of the Above,6714.0,27.0,6741.0,0.58,Uttar Pradesh,Pilibhit - 26,,,,,,,,,
1.0,SHIV PAL SINGH PATEL (DR. S P SINGH),Samajwadi Party,439836.0,2096.0,441932.0,46.65,Uttar Pradesh,Pratapgarh - 39,66206.0,,,,,,,,
2.0,SANGAM LAL GUPTA,Bharatiya Janata Party,374208.0,1518.0,375726.0,39.66,Uttar Pradesh,Pratapgarh - 39,,,,,,,,,
3.0,PRATHMESH MISHRA 'SENANI',Bahujan Samaj Party,79872.0,272.0,80144.0,8.46,Uttar Pradesh,Pratapgarh - 39,,,,,,,,,
4.0,SANDEEP SINGH,National Jan Dal,5270.0,16.0,5286.0,0.56,Uttar Pradesh,Pratapgarh - 39,,,,,,,,,
5.0,ARUN KUMAR PANDEY,Hindustan Samaj Party,4984.0,7.0,4991.0,0.53,Uttar Pradesh,Pratapgarh - 39,,,,,,,,,
6.0,SHIV RAM SHARMA,Moulik Adhikar Party,4709.0,2.0,4711.0,0.5,Uttar Pradesh,Pratapgarh - 39,,,,,,,,,
7.0,AMAR SINGH,Independent,4135.0,3.0,4138.0,0.44,Uttar Pradesh,Pratapgarh - 39,,,,,,,,,
8.0,SUNIL CHANDRA PAL,Rashtra Uday Party,3337.0,3.0,3340.0,0.35,Uttar Pradesh,Pratapgarh - 39,,,,,,,,,
9.0,AJEET PRATAP,Independent,2581.0,0.0,2581.0,0.27,Uttar Pradesh,Pratapgarh - 39,,,,,,,,,
10.0,VIJAY SINGH,Sanatan Sanskriti Raksha Dal,2457.0,2.0,2459.0,0.26,Uttar Pradesh,Pratapgarh - 39,,,,,,,,,
11.0,RISHI PATEL,Apna Dal (Kamerawadi),2425.0,4.0,2429.0,0.26,Uttar Pradesh,Pratapgarh - 39,,,,,,,,,
12.0,MAHESH KUMAR PRAJAPATI,Samajhdar Party,1963.0,1.0,1964.0,0.21,Uttar Pradesh,Pratapgarh - 39,,,,,,,,,
13.0,DHANANJAY,Independent,1622.0,1.0,1623.0,0.17,Uttar Pradesh,Pratapgarh - 39,,,,,,,,,
14.0,GEETA DEVI,Bhartiya Lokmat Rashtrwadi Party,1582.0,12.0,1594.0,0.17,Uttar Pradesh,Pratapgarh - 39,,,,,,,,,
15.0,RAMSIDDH YADAV URF R.S.YADAV,Manavtawadi Samaj Party,1326.0,1.0,1327.0,0.14,Uttar Pradesh,Pratapgarh - 39,,,,,,,,,
16.0,SUNIL KUMAR MISHRA,Independent,1134.0,2.0,1136.0,0.12,Uttar Pradesh,Pratapgarh - 39,,,,,,,,,
17.0,SHANKAR SUMAN TIVARI,Independent,1128.0,1.0,1129.0,0.12,Uttar Pradesh,Pratapgarh - 39,,,,,,,,,
18.0,DURGESH KUMAR,Rastriya Atal Janta Party,1113.0,3.0,1116.0,0.12,Uttar Pradesh,Pratapgarh - 39,,,,,,,,,
19.0,RAM KUMAR YADAV,Socialist Unity Centre Of India (COMMUNIST),1070.0,1.0,1071.0,0.11,Uttar Pradesh,Pratapgarh - 39,,,,,,,,,
20.0,SHIV PAL PATEL,Independent,1025.0,5.0,1030.0,0.11,Uttar Pradesh,Pratapgarh - 39,,,,,,,,,
