,State,Party,EVM Votes,Postal Votes,Total Votes,Latitude,Longitude
111,Bihar,Aadarsh Mithila Party,11638243415423,35911,11673244315434,25.0961,85.3131
112,Bihar,Aam Janta Party Rashtriya,68742806,3743,69112849,25.0961,85.3131
113,Bihar,Aazad Samaj Party (Kanshi Ram),13419,13,13432,25.0961,85.3131
114,Bihar,Adarsh Jankalyan Dal,1816,1,1817,25.0961,85.3131
115,Bihar,Akhand Bharat Janpriya Party,1715,1,1716,25.0961,85.3131
116,Bihar,Akhil Bhartiya Parivar Party,33293670571646201479,2111534,33503681572146231483,25.0961,85.3131
117,Bihar,Akhil Hind Forward Bloc (Krantikari),48925003,43,48965006,25.0961,85.3131
118,Bihar,Al-Hind Party,18571,5,18576,25.0961,85.3131
119,Bihar,All India Forward Bloc,13016846,18,13026854,25.0961,85.3131
120,Bihar,All India Majlis-E-Ittehadul Muslimeen,2990010983309011449277504121401011947,9223253617101332,2999211006309264449877674131402311979,25.0961,85.3131
121,Bihar,Apna Kisan Party,15219011,15,15229016,25.0961,85.3131
122,Bihar,Bahujan Mukti Party,432259422823,172711,433959692834,25.0961,85.3131
123,Bihar,Bahujan Samaj Party,1267210631202328362125471143128259122342914585918569612313735322354914452138947575129477197133591214365301523316240109131093159121059512698147084549188658773120321796170812136718739,1819577919940291421278868453352108461594442643137179976493416243462107233780118206977,1269010826203098453126461147148268123762927286798638012366738842365714498140537579129917223134021228065471533216316109621096559281061912732147704559888888810121121807971012143618816,25.0961,85.3131
124,Bihar,Bajjikanchal Vikas Party,47912950,15,47922955,25.0961,85.3131
125,Bihar,Bhagidari Party(P),58863483,3-,58893483,25.0961,85.3131
126,Bihar,Bharat Jago Janta Party,6303,37,6340,25.0961,85.3131
127,Bihar,Bharat Jan Jagran Dal,7727,9,7736,25.0961,85.3131
128,Bihar,Bharat Nirman Party,3770,2,3772,25.0961,85.3131
129,Bihar,Bharatiya Aam Awam Party,5527,58,5585,25.0961,85.3131
130,Bihar,Bharatiya Ekta Dal,1699,5,1704,25.0961,85.3131
131,Bihar,Bharatiya Jan Kranti Dal (Democratic),106651238,92,106741240,25.0961,85.3131
132,Bihar,Bharatiya Janata Party,599118464736384819646912405795565706552705527974618569408537578959526608587212540598470234492177515159,10284838163724192459924723155911802071146215011058159515181670806,600146469574386456649331408254566630553428529533619749410608580421528109588270542193471752493847515965,25.0961,85.3131
133,Bihar,Bharatiya Momin Front,735319711635,193,735419801638,25.0961,85.3131
134,Bihar,Bhartiya Dalit Party,96151465,554,96701469,25.0961,85.3131
135,Bihar,Bhartiya Gandhiwadi Party,4817,5,4822,25.0961,85.3131
136,Bihar,Bhartiya Kranti Vir Party,8709,40,8749,25.0961,85.3131
137,Bihar,Bhartiya Lok Chetna Party,237019791486,14-3,238419791489,25.0961,85.3131
138,Bihar,Bhartiya Lok Nayak Party,8851,28,8879,25.0961,85.3131
139,Bihar,Bhartiya Manavta Party,1235,2,1237,25.0961,85.3131
140,Bihar,Bhartiya Rashtriya Dal,6673,39,6712,25.0961,85.3131
141,Bihar,Bhartiya Sarthak Party,323028904753489536614141,133-19269,324328934753491436874150,25.0961,85.3131
142,Bihar,Communist Party of India,564310,3541,567851,25.0961,85.3131
143,Bihar,Communist Party of India (Marxist),375988,1538,377526,25.0961,85.3131
144,Bihar,Communist Party of India (Marxist-Leninist) (Liberation),526564378922388052,281816592256,529382380581390308,25.0961,85.3131
145,Bihar,Country Citizen Party,2095,2,2097,25.0961,85.3131
146,Bihar,Desh Janhit Party,34112190,82,34192192,25.0961,85.3131
147,Bihar,Ekam Sanatan Bharat Dal,1115,1,1116,25.0961,85.3131
148,Bihar,Gana Suraksha Party,8531177011420,953,8540177511423,25.0961,85.3131
149,Bihar,Hamara Sahara Party,1607,7,1614,25.0961,85.3131
150,Bihar,Hindustan Janta Party Secular,1360,6,1366,25.0961,85.3131
151,Bihar,Hindustan People's Party (Democratic),14789455,2831,15069486,25.0961,85.3131
152,Bihar,Hindustan Vikas Dal,15139,1,15140,25.0961,85.3131
153,Bihar,Hindustani Awam Morcha (Secular),492732,2228,494960,25.0961,85.3131
154,Bihar,Independent,13697120055086489723630133735765476422631115067046591149368103493212947614440301225566776629309146527156531274277575506269720451667108969839209449542334098280026922531129881225311138671617241711361532671179316801611213021576557095356138412599318064143071248827354621357631512307108282737024478789261421181511300999295227299375835251336570462101615718138097470536641243410172251561786927309515738973225181117781730159598496514746680462325515392235993341233121081595149111773939129444899284964922416331041807176799424973464324152050566867845776931303071764017393034892539259531615155744686284922041161015165314830092302800929014205852891111173710944773280212617871439293084215581848986816162566645033920194751325274471845071777000589453301696159533150220921403425396145316390337582319519787135901214210478,4933425619329713322968153651388218372101378269210152192314162-44848-11883223417101825117726910432551220321235-54713163791618-1811--1113--42651034922141128238293-22411-136892-176543144458322231441080711554-292567710112192626327771762121241-33214-30238820,13746120085120489923635133795766477322951115967116604149398125494112953615240451225866836634310447409158361274977595516283420531669109569929211450542344103282127012554130021226911140671617245711761612675180116801612313029577357125378138752601018074143251251327472321383632412317108712739524483790461621181811302999395247302376335251337070502102315731138257507537541403428172251561887007310515838973225181217791731159898496514750680662385520393236023345234021101597150511783951929682899485054925416331061809177199434974464324162053567556845976931304771824022393434922553259571615555794694285222043161035167315130232306801929094205922891211188711444813280212817961441293651215651859086936181566845093922195351652274541845771947006591553511696359573151220921433425696165317390737582322519810135981215010498,25.0961,85.3131
155,Bihar,Indian National Congress,430025565025402470425887383759441363433818391558509977,11382067380995106324906069773027,431163567092402850426882384822443853434424392535513004,25.0961,85.3131
156,Bihar,Indian National League,2445,8,2453,25.0961,85.3131
157,Bihar,Jagrook Janta Party,16401554894466651006,3416262714,16741570897066921020,25.0961,85.3131
158,Bihar,Jai Hind Party,12971,43,13014,25.0961,85.3131
159,Bihar,Jan Janwadi Party,295476612616,1034,296476642620,25.0961,85.3131
160,Bihar,Janata Dal (United),505674534923510329299044532138516199342795639758547814557054543313475709514940385625592922522495,10041108153714008941030363891233223683969037798832116927,506678536031511866300444533032517229343158640649550146559422543709476612515719386508595038523422,25.0961,85.3131
161,Bihar,Janhit Kisan Party,5025,5,5030,25.0961,85.3131
162,Bihar,Janshakti Janta Dal,1308,10,1318,25.0961,85.3131
163,Bihar,Janta Raj Vikas Party,937,2,939,25.0961,85.3131
164,Bihar,Jantantra Awaj Party,363419711968104026342929,4733205,363819781971104326542934,25.0961,85.3131
165,Bihar,Karpoori Janta Dal,659978781976,4595,664478871981,25.0961,85.3131
166,Bihar,Lok Janshakti Party(Ram Vilas),613106508179537331579095566225,26128671326691818,615718509046538657579786567043,25.0961,85.3131
167,Bihar,Lok Sewa Dal,3509,10,3519,25.0961,85.3131
168,Bihar,Loktantrik Lok Rajyam Party,1780,3,1783,25.0961,85.3131
169,Bihar,Loktantrik Samajik Nyay Party,6532,10,6542,25.0961,85.3131
170,Bihar,Loktantrik Samajwadi Party,56161923,132,56291925,25.0961,85.3131
171,Bihar,Mithilanchal Mukti Morcha,18018,7,18025,25.0961,85.3131
172,Bihar,Moolniwasi Samaj Party,2724,5,2729,25.0961,85.3131
173,Bihar,Naki Bharatiya Ekta Party,3840,5,3845,25.0961,85.3131
174,Bihar,None of the Above,1343816864225663480822283317719572238811717742713368361096026148358462154822866310562495332557206912166221920753919110125551122355735532238191972932645113821716030130321022692518444232462742030673,669961819932452311115091953482477355136828253149107376533271559233559383139168234036,1350416963226273488922382318039617239041728842863369271105526182359282159522939311112496632625207192168721951758819217125921128856065559238341978832668114171721930168321332696418612232692746030709,25.0961,85.3131
175,Bihar,Peoples Party of India (Democratic),253112265510596345875498014830336945582048466444983263,104321191438183238-11,254112308512696535889498314838338745902051467244983274,25.0961,85.3131
176,Bihar,Prabal Bharat Party,2097,2,2099,25.0961,85.3131
177,Bihar,Prabuddha Republican Party,6963,45,7008,25.0961,85.3131
178,Bihar,Pragatisheel Magahi Samaj,2456,12,2468,25.0961,85.3131
179,Bihar,"Proutist Bloc, India",9439,12,9451,25.0961,85.3131
180,Bihar,Rashtra Sewa Dal,5891,28,5919,25.0961,85.3131
181,Bihar,Rashtrawadi Chetna Party,3914,1,3915,25.0961,85.3131
182,Bihar,Rashtrawadi Janlok Party (Satya),2055,42,2097,25.0961,85.3131
183,Bihar,Rashtriya Garib Dal,2895,14,2909,25.0961,85.3131
184,Bihar,Rashtriya Jan Jan Party,12954,259,13213,25.0961,85.3131
185,Bihar,Rashtriya Jan Kalyan Party Secular,19487,8,19495,25.0961,85.3131
186,Bihar,Rashtriya Janata Dal,57890446384540156743506238740839046944255344035239569646498240090946741234056261214727017456763445482463107198063422037454870476199422959,114817221267328310662679306026838681133574186423761136103132819871256760319899312101788,58005246556740283443834538847439314844561344303539656446611540148346927634293861328327120458091447469464363198823425235455863477409424747,25.0961,85.3131
187,Bihar,Rashtriya Jansambhavna Party,9237122541084676543023860484738256446010741196981581242663328446140644423,623261612211454432271168143,9243122771087276703035862584878310446410744197181851243763388454140784426,25.0961,85.3131
188,Bihar,Rashtriya Lok Morcha,253088,788,253876,25.0961,85.3131
189,Bihar,Rashtriya Samaj Paksha,605519562018,-47,605519602025,25.0961,85.3131
190,Bihar,Rashtriya Sanatan Party,9593,9,9602,25.0961,85.3131
191,Bihar,Samaj Shakti Party,5866184724867,1884,5884184804871,25.0961,85.3131
192,Bihar,Samajhdar Party,11127,22,11149,25.0961,85.3131
193,Bihar,Samajwadi Lok Parishad,1867,13,1880,25.0961,85.3131
194,Bihar,Samata Party,7627470119981170239720035431,18209418-4,7645472120071174241520035435,25.0961,85.3131
195,Bihar,Sankhyanupati Bhagidari Party,1937,12,1949,25.0961,85.3131
196,Bihar,Sanyukt Kisan Vikas Party,25286,5,25291,25.0961,85.3131
197,Bihar,Sathi Aur Aapka Faisala Party,2665,1,2666,25.0961,85.3131
198,Bihar,Shoshit Samaj Dal,4611,7,4618,25.0961,85.3131
199,Bihar,Socialist Unity Centre Of India (COMMUNIST),24495226263337581694250960258556464111320489318521421107812992998,182075715821522053-711,24675246264037631701252460338577464611322491318571424107813063009,25.0961,85.3131
200,Bihar,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),1749,7,1756,25.0961,85.3131
201,Bihar,The Agrani Party,1840,3,1843,25.0961,85.3131
202,Bihar,The National Road Map Party of India,30374708,419,30414727,25.0961,85.3131
203,Bihar,Vikassheel Insaan Party,383065347989451118,16218742788,384686348863453906,25.0961,85.3131
204,Bihar,Viro Ke Vir Indian Party,1313934499096107955097,6156113,1314534649102108065100,25.0961,85.3131
205,Bihar,Voters Party International,2435,5,2440,25.0961,85.3131
206,Bihar,Wazib Adhikar Party,2529108433110,3192,2532108623112,25.0961,85.3131
207,Bihar,Yuva Bihar Sena,1983,7,1990,25.0961,85.3131
208,Bihar,Yuva Krantikari Party,8720,16,8736,25.0961,85.3131
209,Chandigarh,Akhil Bhartiya Parivar Party,1066,2,1068,30.7333,76.7794
210,Chandigarh,Bahujan Samaj Party,6697,11,6708,30.7333,76.7794
211,Chandigarh,Bharatiya Janata Party,213770,383,214153,30.7333,76.7794
212,Chandigarh,Haryana Jansena Party,576,1,577,30.7333,76.7794
213,Chandigarh,Independent,26251051683434321306295294253239154114,13-2-1--2---,26261054683436321307295294255239154114,30.7333,76.7794
214,Chandigarh,Indian National Congress,216350,307,216657,30.7333,76.7794
215,Chandigarh,None of the Above,2900,12,2912,30.7333,76.7794
216,Chandigarh,Sainik Samaj Party,215,2,217,30.7333,76.7794
217,Chandigarh,Super Power India Party,205,-,205,30.7333,76.7794
218,Chhattisgarh,Aap Sabki Apni Party,525,3,528,21.2787,81.8661
219,Chhattisgarh,Aazad Samaj Party (Kanshi Ram),11811822701,274,11831829705,21.2787,81.8661
220,Chhattisgarh,Akhil Bhartiya Parivar Party,4008,8,4016,21.2787,81.8661
221,Chhattisgarh,Ambedkarite Party of India,12711556113511312,3511-,12741561113621312,21.2787,81.8661
222,Chhattisgarh,Asankhya Samaj Party,1417,5,1422,21.2787,81.8661
223,Chhattisgarh,Azad Janata Party,3569833,234,3592837,21.2787,81.8661
224,Chhattisgarh,Bahujan Samaj Party,1961513175132904808911694106898823154939201965915182,32474341276503710798917,1964713222133334850111770107398860156009299966815199,21.2787,81.8661
225,Chhattisgarh,Bharat Adivasi Party,3035,25,3060,21.2787,81.8661
226,Chhattisgarh,Bharatiya Bahujan Congress,818,3,821,21.2787,81.8661
227,Chhattisgarh,Bharatiya Janata Party,4565737231949543566757405951855257337012918066671047447711439712172,1825174321412459243911662368160829046181028,4583987249379564976781995976245268997036598082751050351712057713200,21.2787,81.8661
228,Chhattisgarh,Bhartiya Janta Secular Party,1684,1,1685,21.2787,81.8661
229,Chhattisgarh,Bhartiya Shakti Chetna Party,43458991471420149852093261810511735,921221368112,43549011483422249882099262610621737,21.2787,81.8661
230,Chhattisgarh,Bhrashtachar Mukti Morcha,765,1,766,21.2787,81.8661
231,Chhattisgarh,Chhattisgarh Vikas Ganga Rashtriya Party,5599211289,635,5659241294,21.2787,81.8661
232,Chhattisgarh,Communist Party of India,35850,37,35887,21.2787,81.8661
233,Chhattisgarh,Dhoom Sena,434,-,434,21.2787,81.8661
234,Chhattisgarh,Ekam Sanatan Bharat Dal,6985237,14,6995241,21.2787,81.8661
235,Chhattisgarh,Gondvana Gantantra Party,30301049106486174849810743007285915626,121291068938625,30421061107387234858710773015286515651,21.2787,81.8661
236,Chhattisgarh,Hamar Raj Party,438223105770495866261091534922139,5210512544710,438723125780500966511095934992149,21.2787,81.8661
